Step,Value
0,-13
1,-13
2,-13
3,-13
4,-13
5,-13
6,-13
7,-13
8,-11
9,-11
10,-11
11,-11
12,-11
13,-11
14,-11
15,-11
16,-11
17,-11
18,-11
19,-11
20,-11
21,-11
22,-11
23,-11
24,-11
25,-11
26,-11
27,-11
28,-11
29,-11
30,-11
31,-9
32,-9
33,-9
34,-9
35,-9
36,-9
37,-9
38,-9
39,-9
40,-9
41,-9
42,-9
43,-9
44,-9
45,-9
46,-9
47,-9
48,-9
49,-9
50,-9
51,-9
52,-9
53,-9
54,-9
55,-9
56,-9
57,-9
58,-9
59,-9
60,-9
61,-9
62,-9
63,-9
64,-9
65,-9
66,-9
67,-9
68,-9
69,-9
70,-9
71,-9
72,-9
73,-9
74,-9
75,-9
76,-9
77,-9
78,-9
79,-9
80,-9
81,-9
82,-9
83,-9
84,-9
85,-9
86,-9
87,-9
88,-9
89,-9
90,-9
91,-9
92,-9
93,-9
94,-9
95,-9
96,-9
97,-9
98,-9
99,-9
100,-9
101,-9
102,-9
103,-9
104,-9
105,-9
106,-9
107,-9
108,-9
109,-9
110,-9
111,-9
112,-9
113,-9
114,-9
115,-9
116,-9
117,-9
118,-9
119,-9
120,-9
121,-9
122,-9
123,-9
124,-9
125,-9
126,-9
127,-9
128,-9
129,-9
130,-9
131,-9
132,-9
133,-9
134,-9
135,-9
136,-9
137,-9
138,-9
139,-9
140,-9
141,-9
142,-9
143,-9
144,-9
145,-9
146,-9
147,-9
148,-9
149,-9
150,-9
151,-9
152,-9
153,-9
154,-9
155,-9
156,-9
157,-9
158,-9
159,-9
160,-9
161,-9
162,-9
163,-9
164,-9
165,-9
166,-9
167,-7
168,-7
169,-7
170,-7
171,-7
172,-7
173,-7
174,-7
175,-7
176,-7
177,-7
178,-7
179,-7
180,-7
181,-7
182,-7
183,-7
184,-7
185,-7
186,-7
187,-7
188,-7
189,-7
190,-7
191,-7
192,-7
193,-7
194,-7
195,-7
196,-7
197,-7
198,-7
199,-7
200,-7
201,-7
202,-7
203,-7
204,-7
205,-7
206,-7
207,-7
208,-7
209,-7
210,-7
211,-7
212,-7
213,-7
214,-7
215,-7
216,-7
217,-7
218,-7
219,-7
220,-7
221,-7
222,-7
223,-7
224,-7
225,-7
226,-7
227,-7
228,-7
229,-7
230,-7
231,-7
232,-7
233,-7
234,-7
235,-7
236,-7
237,-7
238,-7
239,-7
240,-7
241,-7
242,-7
243,-7
244,-7
245,-7
246,-7
247,-7
248,-7
249,-7
250,-7
251,-7
252,-7
253,-7
254,-7
255,-7
256,-7
257,-7
258,-7
259,-7
260,-7
261,-7
262,-7
263,-7
264,-7
265,-7
266,-7
267,-7
268,-7
269,-7
270,-7
271,-7
272,-7
273,-7
274,-7
275,-7
276,-7
277,-7
278,-7
279,-7
280,-7
281,-7
282,-7
283,-7
284,-7
285,-7
286,-7
287,-7
288,-7
289,-7
290,-7
291,-7
292,-7
293,-7
294,-7
295,-7
296,-7
297,-7
298,-7
299,-7
300,-7
301,-7
302,-7
303,-7
304,-7
305,-7
306,-7
307,-7
308,-7
309,-7
310,-7
311,-7
312,-7
313,-7
314,-7
315,-7
316,-7
317,-7
318,-7
319,-7
320,-7
321,-7
322,-7
323,-7
324,-7
325,-7
326,-7
327,-7
328,-7
329,-7
330,-7
331,-7
332,-7
333,-7
334,-7
335,-7
336,-7
337,-7
338,-7
339,-7
